address,lat,long,district
"11, Ngách 264/21 Âu Cơ, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.075,105.827,tây hồ
"11, Ngõ 103 Lý Sơn, Phường Thượng Thanh, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội, 115005, Việt Nam",21.066,105.88,long biên
"11, Ngõ 243 Ngọc Lâm, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.047,105.871,long biên
"11, Ngõ 41 Đông Tác, Phường Kim Liên, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 1000000, Việt Nam",21.005,105.833,đống đa
"11, Ngõ 45 Trần Thái Tông, Quận Cầu Giấy, Thành phố Hà Nội, 122000, Việt Nam",21.034,105.79,cầu giấy
"11, Phố Gia Thụy, Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.049,105.89,long biên
"11, Phố Quàng Khành, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.062,105.82,tây hồ
"110, Ngõ 34 Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.02,105.822,đống đa
"111, Phố Miêu Nha, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.018,105.745,nam từ liêm
"111, Đường Nguyễn Sơn, Phường Gia Thụy, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.046,105.88,long biên
"111, Đường Âu Cơ, Nhật Tân, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.069,105.826,tây hồ
"112 nguyễn huy tưởg, 112, Đường Nguyễn Huy Tưởng, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.998,105.805,thanh xuân
"112, Phố Hòe Thị, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.038,105.742,nam từ liêm
"113 Trần Duy Hưng, Đường Trần Duy Hưng, Quận Cầu Giấy, Thành phố Hà Nội, 000000, Việt Nam",21.01,105.799,cầu giấy
"113, Phố Hoàng Như Tiếp, Bồ Đề, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.04,105.878,long biên
"113, Phố Nhật Chiêu, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.072,105.815,tây hồ
"114, Phố An Trạch, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 118443, Việt Nam",21.027,105.828,đống đa
"114, Phố Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Thành phố Hà Nội, 10999, Việt Nam",21.006,105.851,hai bà trưng
"115, Phố Phùng Hưng, Hàng Mã, Phường Cửa Đông, Quận Hoàn Kiếm, Thành phố Hà Nội, 100999, Việt Nam",21.035,105.846,hoàn kiếm
"115, Quốc lộ 1, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.965,105.863,hoàng mai
"115-117 Nghi Tàm, Đường Nghi Tàm, Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.054,105.837,tây hồ
"116, Phố Nguyễn Chính, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.979,105.848,hoàng mai
"116, Đường Nguyễn Tuân, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.998,105.804,thanh xuân
"117, Ngô 42 Thįnh Liệt, Khu giãn dân Đồng Tầu, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.972,105.848,hoàng mai
"117, Phố Nguyễn An Ninh, Hoàng Mai, Thành phố Hà Nội, 1000000, Việt Nam",20.992,105.844,hoàng mai
"117, Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.048,105.815,tây hồ
"117, Phố Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.015,105.83,đống đa
"117, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, 143315, Việt Nam",21.071,105.8,bắc từ liêm
"118, Phố Thanh Am, Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.073,105.901,long biên
"1187, Đường Giải Phóng, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.973,105.841,hoàng mai
"119, Ngõ 2 Tây Trà, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.976,105.882,hoàng mai
"119, Ngõ 99 Định Công Hạ, Hoàng Mai, Thành phố Hà Nội, 11718, Việt Nam",20.979,105.829,hoàng mai
"12 Cầu Bươu, Đường Cầu Bươu, Thanh Trì, Thành phố Hà Nội, 193824, Việt Nam",20.959,105.804,
"12, Ngõ 10 Trần Duy Hưng, Quận Cầu Giấy, Thành phố Hà Nội, 000000, Việt Nam",21.015,105.804,cầu giấy
"12, Ngõ 4 Phố Đặng Văn Ngữ, Khu tập thể Trung Tự, Phường Trung Tự, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.009,105.833,đống đa
"12, Ngõ 638 Ngô Gia Tự, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.075,105.908,long biên
"12, Phố Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.06,105.901,long biên
"12, Phố Nguyễn Đức Cảnh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.987,105.848,hoàng mai
"120, Ngõ 22 Kim Quan, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.057,105.902,long biên
"120, Phố Trần Quốc Hoàn, Quận Cầu Giấy, Thành phố Hà Nội, 122000, Việt Nam",21.042,105.782,cầu giấy
"121 Trần Cung, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.054,105.788,bắc từ liêm
"121, Phố Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội, 120406, Việt Nam",20.995,105.773,nam từ liêm
"122, Đường tỉnh 422B, Xã Vân Canh, Huyện Hoài Đức, Thành phố Hà Nội, 24, Việt Nam",21.035,105.736,
"123, Ngõ 68 Nguyễn Văn Linh, Phường Thạch Bàn, Tổ 5 Sài Đồng, Quận Long Biên, Thành phố Hà Nội, 126227, Việt Nam",21.025,105.921,long biên
"123, Phố Bùi Xương Trạch, Quận Thanh Xuân, Hoàng Mai, Thành phố Hà Nội, 11718, Việt Nam",20.989,105.818,hoàng mai
"124 Hồ Đền Lừ, Phố Nguyễn Đức Cảnh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.986,105.855,hoàng mai
"124, Đường Nguyễn Văn Cừ, Ái Mộ, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.041,105.87,long biên
"125, Ngõ Thái Thịnh 1, Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội, 123025, Việt Nam",21.009,105.816,đống đa
"125, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, 123025, Việt Nam",21.012,105.812,đống đa
"1253, Đường Giải Phóng, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.972,105.841,hoàng mai
"126, Phố Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội, 1000000, Việt Nam",20.997,105.845,hai bà trưng
"126, Đường Lạc Long Quân, Quận Cầu Giấy, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.051,105.808,tây hồ
"129, Phố Bồ Đề, Lâm Du, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.037,105.873,long biên
"129, Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.049,105.815,tây hồ
"129, Đường Phúc Diễn, Phường Phúc Diễn, Phường Xuân Phương, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.039,105.759,bắc từ liêm
"13, Phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, +842435373535, Việt Nam",21.018,105.812,đống đa
"13, Phố Thái Thịnh, Phường Ngã Tư Sở, Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội, 123025, Việt Nam",21.006,105.822,đống đa
"130 Đền Lừ 2, Lô 5 Đền Lừ 2, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.987,105.858,hoàng mai
"130, Ngõ 885 Tam Trinh, Gelexia Riverside, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.967,105.875,hoàng mai
"131 Hoàng Văn Thái, Phố Hoàng Văn Thái, Quận Thanh Xuân, Thành phố Hà Nội, 120911, Việt Nam",20.997,105.825,thanh xuân
"131, Đường La Thành, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.02,105.828,đống đa
"131, Đường Nguyễn Ngọc Vũ, Quận Cầu Giấy, Thành phố Hà Nội, 170, Việt Nam",21.011,105.81,cầu giấy
"131, Đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.039,105.738,nam từ liêm
"131, Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 120406, Việt Nam",20.987,105.767,nam từ liêm
"1327, Đường Giải Phóng, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.968,105.842,hoàng mai
"135 Tổ 3 (Đối diện trường mầm non Sao Mai - Kiều Mai), Đường Cầu Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.046,105.75,bắc từ liêm
"135, Ngõ 238 Âu Cơ, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.07,105.83,tây hồ
"135, Phố An Trạch, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 118443, Việt Nam",21.027,105.829,đống đa
"135, Đường Hoàng Quốc Việt, Quận Cầu Giấy, Thành phố Hà Nội, 1000, Việt Nam",21.046,105.8,cầu giấy
"135, Đường Âu Cơ, Quảng An, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.064,105.831,tây hồ
"1351, Đường Giải Phóng, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.967,105.842,hoàng mai
"137, Phố Phúc Tân, Phúc Tân, Phường Chương Dương, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội, 111501, Việt Nam",21.037,105.855,hoàn kiếm
"138, Phố Giảng Võ, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118443, Việt Nam",21.028,105.825,ba đình
"139 Hải Âu 2, Hải Âu 2, Vinhomes Ocean Park, Xã Dương Xá, Huyện Gia Lâm, Thành phố Hà Nội, 163522, Việt Nam",20.992,105.955,
"139, Ngõ 2 Tây Trà, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.975,105.882,hoàng mai
"14, Nam Sơn, Khu đô thị Linh Đàm, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.962,105.834,hoàng mai
"14, Phố Nguyễn Thượng Hiền, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, 084 04, Việt Nam",21.019,105.843,hai bà trưng
"14, Phố Vũ Phạm Hàm, Quận Cầu Giấy, Thành phố Hà Nội, 0000000, Việt Nam",21.015,105.797,cầu giấy
"14, Phố Đông Tác, Phường Kim Liên, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 10999, Việt Nam",21.006,105.834,đống đa
"140 Ngọc Thụy, Phố Ngọc Thụy, Trung Hà, Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội, 115005, Việt Nam",21.051,105.864,long biên
"1403, Đường Giải Phóng, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.966,105.842,hoàng mai
"141, Đường Lê Duẩn, Phường Cửa Nam, Phường Nguyễn Du, Quận Hoàn Kiếm, Thành phố Hà Nội, 111103, Việt Nam",21.023,105.842,hoàn kiếm
"141P, Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Thành phố Hà Nội, 11617, Việt Nam",20.991,105.849,hai bà trưng
"142, Đường Nguyễn Hoàng Tôn, Phường Xuân La, Phường Xuân Tảo, Quận Tây Hồ, Thành phố Hà Nội, 124224, Việt Nam",21.072,105.804,tây hồ
"142, Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.025,105.908,long biên
"142a, Đường Quang Trung, Hà Đông, Quận Hà Đông, Thành phố Hà Nội, 100000, Việt Nam",20.968,105.772,hà đông
"144, Phố Trần Đại Nghĩa, Phường Trương Định, Quận Hai Bà Trưng, Thành phố Hà Nội, 1000000, Việt Nam",20.995,105.845,hai bà trưng
"144, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.035,105.748,nam từ liêm
"145 Nguyễn Thái Học, Phố Nguyễn Thái Học, Điện Biên, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.031,105.834,ba đình
"145, Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.05,105.814,tây hồ
"145, Đường tỉnh 427, Huyện Thường Tín, Thành phố Hà Nội, Việt Nam",20.868,105.842,
"148, Phố Tây Trà, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.975,105.883,hoàng mai
"149, Phố Gia Quất, Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội, 115005, Việt Nam",21.054,105.877,long biên
"149, Phố Phùng Hưng, Cửa Đông, Phường Cửa Đông, Quận Hoàn Kiếm, Thành phố Hà Nội, 844, Việt Nam",21.032,105.845,hoàn kiếm
"149, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.023,105.832,đống đa
"15 Thiên Hiền, Phố Thiên Hiền, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.022,105.777,nam từ liêm
"15, Ngõ 4 Ô Cách, Đức Giang, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.06,105.894,long biên
"15, Ngõ 757 Nguyễn Văn Linh, Tổ 11 Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội, 08443, Việt Nam",21.03,105.916,long biên
"15, Phố Giang Văn Minh, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.03,105.827,ba đình
"15, Phố Lý Thái Tổ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội, 110905, Việt Nam",21.031,105.855,hoàn kiếm
"15, Phố Nguyễn Khả Trạc, Quận Cầu Giấy, Thành phố Hà Nội, 122863, Việt Nam",21.045,105.775,cầu giấy
"15, Phố Nguyễn Khắc Nhu, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, 100999, Việt Nam",21.044,105.845,ba đình
"15, Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.08,105.788,bắc từ liêm
"15,17, Đường cao tốc Nội Bài - Hạ Long, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam",21.209,105.842,
"15,17,43, residential, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",21.124,105.865,
"150 Lê Trọng Tấn, Ngõ 148 Lê Trọng Tấn, Quận Thanh Xuân, Thành phố Hà Nội, 120939, Việt Nam",20.996,105.83,thanh xuân
"150, Dương La Nội, Quận Hà Đông, Thành phố Hà Nội, 0914663166, Việt Nam",20.983,105.749,hà đông
"150, Ngõ 200 Phố Nguyễn Lân, Quận Thanh Xuân, Thành phố Hà Nội, 1000000, Việt Nam",20.99,105.836,thanh xuân
"150, Phố Nguyễn Thái Học, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.032,105.831,ba đình
"150-152 Tổ 3 Đường 32, Đường Cầu Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.045,105.752,bắc từ liêm
"151, Phố Nguyễn Đình Thi, Thuỵ Khuê, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.045,105.82,tây hồ
"151, Đường Âu Cơ, Quảng An, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.064,105.83,tây hồ
"152, Ngõ 151 Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội, 143315, Việt Nam",21.072,105.798,bắc từ liêm
"152, Phố Phúc Tân, Phúc Tân, Phường Chương Dương, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội, 111501, Việt Nam",21.036,105.855,hoàn kiếm
"152, Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Thành phố Hà Nội, 10999, Việt Nam",21.01,105.838,đống đa
"152, Đường Tiền Thành, Quận Hà Đông, Thành phố Hà Nội, 0914663166, Việt Nam",20.989,105.743,hà đông
"153, Phố Miêu Nha, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.015,105.746,nam từ liêm
"154, Phố Mai Anh Tuấn, Phường Ô Chợ Dừa, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, +842435373535, Việt Nam",21.019,105.82,đống đa
"154, Đường Kim Giang, Quận Thanh Xuân, Hoàng Mai, Thành phố Hà Nội, 11718, Việt Nam",20.981,105.818,hoàng mai
"156, Ngõ 172 Âu Cơ, Từ Liên, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.068,105.834,tây hồ
"156, Phố Kim Mã, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.032,105.826,ba đình
"158, Ngõ 210 Phố Nguyễn Lân, Quận Thanh Xuân, Thành phố Hà Nội, 1000000, Việt Nam",20.99,105.837,thanh xuân
"158, Phố Thúy Lĩnh, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.972,105.894,hoàng mai
"158, Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội, 1000000, Việt Nam",20.994,105.844,hai bà trưng
"158/13 Ngọc Hà, Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội, 124302, Việt Nam",21.037,105.83,ba đình
"15k per kg in alley, Phố Hàng Bông, Hàng Gai, Phường Hàng Bông, Quận Hoàn Kiếm, Thành phố Hà Nội, 844, Việt Nam",21.03,105.846,hoàn kiếm
"16, Ngõ 134, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.03,105.908,long biên
"16, Ngõ 214 Nguyễn Xiển, Quận Thanh Xuân, Thanh Trì, Thành phố Hà Nội, 1000001, Việt Nam",20.987,105.806,
"16, Ngõ 264 Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.073,105.827,tây hồ
"16, Phố Gia Quất, Phường Thượng Thanh, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.052,105.878,long biên
"161, Đường Bát Khối, Long Biên, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.024,105.886,long biên
"162, Phố Nguyễn Ngọc Nại, Quận Thanh Xuân, Thành phố Hà Nội, 120911, Việt Nam",20.998,105.826,thanh xuân
"162, Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, 124302, Việt Nam",21.046,105.84,ba đình
"162, Đường Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội, 24, Việt Nam",21.051,105.738,bắc từ liêm
"162, Đường Ngô Gia Tự, Đức Giang, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.061,105.894,long biên
